"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","season_num","round_id"
"CD_I1019061","Jade Pregelj",46100,-4800,5900,11300,16700,21000,2024,9,1
"CD_I1024295","Luka Yoshida-Martin",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1024563","Jacinta Baldwick",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1026111","Sophie Peters",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1026113","Indiana Williams",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1026937","Rania Crozier",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1029614","Eleanor Hartill",55100,-5700,5000,10400,15700,20000,2024,9,1
"CD_I1033269","Evie Long",40000,-4000,6600,11900,17300,21600,2024,9,1
"CD_I1014873","Tarni Brown",96300,-10000,700,6100,11500,15700,2024,9,1
"CD_I1016940","Marianna Anthony",131100,-13700,-2900,2500,7800,12100,2024,9,1
"CD_I1019489","Jade Halfpenny",47700,-5000,5800,11100,16500,20800,2024,9,1
"CD_I1019665","Tahlia Read",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1019736","Yasmin Duursma",57300,-6000,4800,10100,15500,19800,2024,9,1
"CD_I1019819","Brooke Vickers",80400,-8400,2400,7700,13100,17400,2024,9,1
"CD_I1019887","Amelia Velardo",89100,-9300,1500,6800,12200,16500,2024,9,1
"CD_I1025494","Meg Robertson",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1029627","Taylor Ortlepp",57300,-6000,4800,10100,15500,19800,2024,9,1
"CD_I1033159","Erone Fitzpatrick",87800,-9100,1600,7000,12300,16600,2024,9,1
"CD_I1003020","Brianna Davey",190000,-19800,-9100,-3700,1700,6000,2024,9,1
"CD_I1009845","Kalinda Howarth",84300,-8800,2000,7300,12700,17000,2024,9,1
"CD_I1010096","Lauren Butler",109200,-11400,-600,4700,10100,14400,2024,9,1
"CD_I1010102","Nell Morris-Dalton",82100,-8600,2200,7600,12900,17200,2024,9,1
"CD_I1012234","Mikayla Hyde",100400,-10500,300,5700,11000,15300,2024,9,1
"CD_I1012716","Selena Karlson",60800,-6300,4400,9800,15100,19400,2024,9,1
"CD_I1017238","Aishling Sheridan",120900,-12600,-1900,3500,8900,13200,2024,9,1
"CD_I1019817","Charlotte Taylor",65200,-6800,3900,9300,14700,19000,2024,9,1
"CD_I1021895","Georgia Clark",47000,-4900,5800,11200,16600,20900,2024,9,1
"CD_I1025421","Amber Schutte",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1031865","Eleri Morris",52600,-5500,5300,10600,16000,20300,2024,9,1
"CD_I1012236","Sarah Verrier",89900,-9400,1400,6700,12100,16400,2024,9,1
"CD_I1012261","Tara Stribley",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1012581","Gabby Biedenweg-Webster",39800,-3800,6600,12000,17300,21600,2024,9,1
"CD_I1013937","Angelique Stannett",156700,-16300,-5600,-200,5200,9500,2024,9,1
"CD_I1014887","Serena Gibbs",46700,-4900,5900,11200,16600,20900,2024,9,1
"CD_I1017340","Mikayla Morrison",48100,-5000,5700,11100,16500,20800,2024,9,1
"CD_I1022824","Makaela Tuhakaraina",56000,-5800,4900,10300,15600,19900,2024,9,1
"CD_I1025861","Holly Ifould",36000,0,7000,12400,17700,22000,2024,9,1
