RoundID,GameDateTime,HomeTeam,AwayTeam,status,Include
9,2024-10-26T09:15:00.000+0000,ESS,RIC,SCHEDULED,TRUE
9,2024-10-27T02:05:00.000+0000,WBD,STK,SCHEDULED,TRUE
9,2024-10-27T04:05:00.000+0000,COL,CAR,SCHEDULED,TRUE
9,2024-10-27T06:05:00.000+0000,BRL,SYD,SCHEDULED,TRUE
10,2024-11-01T13:00:00.000+0000,CAR,ESS,PLACEHOLDER,TRUE
10,2024-11-01T13:00:00.000+0000,RIC,HAW,PLACEHOLDER,TRUE
10,2024-11-01T13:00:00.000+0000,NTH,GCS,PLACEHOLDER,TRUE
10,2024-11-01T13:00:00.000+0000,MEL,COL,PLACEHOLDER,TRUE
10,2024-11-01T13:00:00.000+0000,GEE,ADE,PLACEHOLDER,TRUE
10,2024-11-01T13:00:00.000+0000,STK,BRL,PLACEHOLDER,TRUE
10,2024-11-01T13:00:00.000+0000,SYD,WCE,PLACEHOLDER,TRUE
10,2024-11-01T13:30:00.000+0000,PTA,GWS,PLACEHOLDER,TRUE
10,2024-11-01T16:00:00.000+0000,FRE,WBD,PLACEHOLDER,TRUE
