"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","round_id"
"CD_I295461","Adam Saad",73900,-1100,-3100,-1000,1000,2700,2024,-1
"CD_I295518","Sam Docherty",104400,-1600,-6000,-4000,-1900,-300,2024,-1
"CD_I296190","Jack Martin",54100,-800,-1100,900,2900,4600,2024,-1
"CD_I296294","Blake Acres",87800,-1300,-4400,-2400,-300,1300,2024,-1
"CD_I296334","Orazio Fantasia",29800,200,1200,3200,5300,6900,2024,-1
"CD_I297255","Mitch McGovern",70700,-1000,-2800,-700,1300,3000,2024,-1
"CD_I297767","Sam Durdin",23100,-2200,1900,3900,5900,7600,2024,-1
"CD_I297907","Nic Newman",98000,-1500,-5400,-3400,-1300,300,2024,-1
"CD_I298290","Marc Pittonet",58700,-900,-1600,500,2500,4100,2024,-1
"CD_I298302","Caleb Marchbank",47600,0,-500,1500,3600,5200,2024,-1
"CD_I990704","Patrick Cripps",88400,-1400,-4500,-2400,-400,1300,2024,-1
"CD_I993795","David Cuningham",59300,-900,-1600,400,2400,4100,2024,-1
"CD_I993832","Jacob Weitering",70400,-1100,-2700,-700,1400,3000,2024,-1
"CD_I996731","Charlie Curnow",86800,-1300,-4300,-2300,-200,1400,2024,-1
"CD_I997316","Lewis Young",56700,-800,-1400,600,2700,4300,2024,-1
"CD_I1000061","Callum Coleman-Jones",51300,-900,-900,1200,3200,4800,2024,-1
"CD_I1001017","Nick Larkey",60000,-900,-1700,300,2400,4000,2024,-1
"CD_I1002138","Toby Pink",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1002240","Jaidyn Stephenson",53600,-800,-1100,900,3000,4600,2024,-1
"CD_I1002267","Luke Davies-Uniacke",97400,-1500,-5300,-3300,-1200,400,2024,-1
"CD_I1002947","Paul Curtis",43900,-700,-200,1900,3900,5600,2024,-1
"CD_I1004848","Dylan Stephens",54900,-800,-1200,800,2900,4500,2024,-1
"CD_I1004965","Tristan Xerri",64300,-800,-2100,-100,2000,3600,2024,-1
"CD_I1005729","Tarryn Thomas",79300,-1200,-3600,-1500,500,2100,2024,-1
"CD_I1006058","Bailey Scott",85600,-1300,-4200,-2200,-100,1500,2024,-1
"CD_I1006137","Curtis Taylor",61300,-900,-1800,200,2200,3900,2024,-1
"CD_I1006193","Bigoa Nyuon",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1011659","Tom Powell",57400,-900,-1500,600,2600,4300,2024,-1
"CD_I1012144","Kallan Dawson",43600,-1400,-100,1900,4000,5600,2024,-1
"CD_I1012829","Will Phillips",66800,-1000,-2400,-300,1700,3300,2024,-1
"CD_I1012833","Eddie Ford",57600,-800,-1500,600,2600,4200,2024,-1
"CD_I1012852","Charlie Lazzaro",31900,-400,1000,3000,5100,6700,2024,-1
"CD_I1015781","Charlie Comben",37400,-300,500,2500,4600,6200,2024,-1
"CD_I1017095","Miller Bergman",44900,-700,-300,1800,3800,5500,2024,-1
"CD_I1017118","Josh Goater",54500,-900,-1200,900,2900,4500,2024,-1
"CD_I1020627","Hamish Free",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1020968","Jackson Archer",38000,-1000,400,2500,4500,6100,2024,-1
"CD_I1020979","Cooper Harvey",35300,300,700,2700,4800,6400,2024,-1
"CD_I1023144","Robert Hansen Jr",22200,-600,1900,4000,6000,7700,2024,-1
"CD_I1023475","Blake Drury",22200,0,1900,4000,6000,7700,2024,-1
"CD_I1023477","George Wardlaw",61100,-600,-1800,200,2300,3900,2024,-1
"CD_I1023494","Zane Duursma",32200,-3100,1000,3000,5100,6700,2024,-1
