"player_id","Name","Team","LiveScore","LiveTog","Playing","season_num","RoundID","score_column","PlayerIcon","MatchStatus","Kick","Handball","Marks","Tackles","Hitouts","FreeFor","FreeAgainst","Goals","Behinds","TimeOnGround"
"CD_I1018874","Niamh Kelly","ADL",43,78,1,9,2,"LIVE",0,1,9,5,3,0,0,0,1,0,0,78
"CD_I1035375","Amy Boyle-Carr","ADL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1035375","Amy Boyle-Carr","ADL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1011057","Teah Charlton","ADL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1011057","Teah Charlton","ADL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I998044","Chelsea Randall","ADL",57,87,0,9,1,"LAST",0,1,12,3,4,2,0,1,2,0,0,87
"CD_I998044","Chelsea Randall","ADL",84,88,1,9,2,"LIVE",0,1,13,6,4,4,0,2,1,1,0,88
"CD_I1011078","Abbie Ballard","ADL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1011078","Abbie Ballard","ADL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019431","Brooke Tonon","ADL",38,74,0,9,1,"LAST",0,1,4,1,2,3,0,0,0,1,0,74
"CD_I1019431","Brooke Tonon","ADL",19,54,1,9,2,"LIVE",0,1,5,2,0,0,0,0,0,0,0,54
"CD_I1007313","Jessica Allan","ADL",87,87,0,9,1,"LAST",0,1,6,7,1,2,30,4,1,2,1,87
"CD_I1007313","Jessica Allan","ADL",60,86,1,9,2,"LIVE",0,1,4,5,3,1,27,1,1,0,0,86
"CD_I1005269","Anne Hatchard","ADL",123,93,0,9,1,"LAST",0,1,10,12,6,12,0,2,2,1,1,93
"CD_I1005269","Anne Hatchard","ADL",117,94,1,9,2,"LIVE",0,1,18,11,7,4,0,1,3,2,0,94
"CD_I1005285","Sarah Allan","ADL",49,95,0,9,1,"LAST",0,1,4,8,0,5,0,1,0,0,0,95
"CD_I1005285","Sarah Allan","ADL",49,97,1,9,2,"LIVE",0,1,5,7,5,1,4,0,1,0,0,97
"CD_I1029614","Eleanor Hartill","BRL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1029614","Eleanor Hartill","BRL",42,52,1,9,2,"LIVE",0,1,3,5,0,5,8,1,2,0,0,52
"CD_I1009844","Tahlia Hickie","BRL",43,77,0,9,1,"LAST",0,1,4,2,1,2,16,0,0,0,0,77
"CD_I1009844","Tahlia Hickie","BRL",58,80,1,9,2,"LIVE",0,1,3,5,1,2,28,0,0,0,0,80
"CD_I1005661","Breanna Koenen","BRL",25,89,0,9,1,"LAST",0,1,3,2,0,3,0,0,0,0,0,89
"CD_I1005661","Breanna Koenen","BRL",62,89,1,9,2,"LIVE",0,1,9,4,6,2,0,1,0,0,0,89
"CD_I1009828","Jade Ellenger","BRL",62,83,0,9,1,"LAST",0,1,6,6,2,7,0,1,1,0,0,83
"CD_I1009828","Jade Ellenger","BRL",47,90,1,9,2,"LIVE",0,1,8,7,1,3,0,0,2,0,0,90
"CD_I1009824","Lily Postlethwaite","BRL",60,78,0,9,1,"LAST",0,1,8,2,2,5,0,3,1,1,0,78
"CD_I1009824","Lily Postlethwaite","BRL",35,83,1,9,2,"LIVE",0,1,3,3,4,2,0,0,0,0,0,83
"CD_I1009843","Ellie Hampson","BRL",52,82,0,9,1,"LAST",0,1,7,0,2,6,0,1,0,0,0,82
"CD_I1009843","Ellie Hampson","BRL",2,52,1,9,2,"LIVE",0,1,2,1,0,0,0,0,2,0,0,52
"CD_I1033157","Jennifer Dunne","BRL",28,89,0,9,1,"LAST",0,1,5,3,1,1,0,0,0,0,0,89
"CD_I1033157","Jennifer Dunne","BRL",40,78,1,9,2,"LIVE",0,1,7,6,1,1,0,0,0,0,0,78
"CD_I1019034","Orla O'Dwyer","BRL",63,87,0,9,1,"LAST",0,1,10,5,1,5,0,0,0,0,0,87
"CD_I1019034","Orla O'Dwyer","BRL",50,74,1,9,2,"LIVE",0,1,11,3,1,2,0,0,0,0,0,74
"CD_I1009836","Natalie Grider","BRL",49,87,0,9,1,"LAST",0,1,6,9,3,1,0,0,0,0,0,87
"CD_I1009836","Natalie Grider","BRL",62,82,1,9,2,"LIVE",0,1,6,5,3,6,0,1,0,0,0,82
"CD_I1021530","Shanae Davison","BRL",1,3,0,9,1,"LAST",0,1,0,0,0,0,0,1,0,0,0,3
"CD_I1021530","Shanae Davison","BRL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1009847","Sophie Conway","BRL",78,86,0,9,1,"LAST",0,1,14,2,7,1,0,1,0,1,0,86
"CD_I1009847","Sophie Conway","BRL",91,83,1,9,2,"LIVE",0,1,14,2,4,9,0,2,2,0,1,83
"CD_I1005638","Kate Lutkins","BRL",19,66,0,9,1,"LAST",0,1,4,3,1,1,0,0,2,0,0,66
"CD_I1005638","Kate Lutkins","BRL",5,64,1,9,2,"LIVE",0,1,0,0,0,2,0,0,1,0,0,64
"CD_I1019057","Dakota Davidson","BRL",44,78,0,9,1,"LAST",0,1,6,1,3,2,1,2,1,1,1,78
"CD_I1019057","Dakota Davidson","BRL",67,100,1,9,2,"LIVE",0,1,6,2,3,5,0,1,1,3,0,100
"CD_I1009962","Poppy Boltz","BRL",36,78,0,9,1,"LAST",0,1,4,4,1,4,0,0,1,0,0,78
"CD_I1009962","Poppy Boltz","BRL",54,87,1,9,2,"LIVE",0,1,8,3,5,3,0,0,1,0,0,87
"CD_I1033269","Evie Long","BRL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1033269","Evie Long","BRL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1009833","Isabel Dawes","BRL",63,79,0,9,1,"LAST",0,1,9,8,2,5,0,0,2,0,0,79
"CD_I1009833","Isabel Dawes","BRL",73,82,1,9,2,"LIVE",0,1,7,14,1,5,0,1,0,0,0,82
"CD_I1005630","Ally Anderson","BRL",116,82,0,9,1,"LAST",0,1,14,15,2,7,0,3,0,1,1,82
"CD_I1005630","Ally Anderson","BRL",161,86,1,9,2,"LIVE",0,1,28,15,6,7,0,0,0,0,1,86
"CD_I1024295","Luka Yoshida-Martin","BRL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1024295","Luka Yoshida-Martin","BRL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1007130","Shannon Campbell","BRL",36,76,0,9,1,"LAST",0,1,5,1,2,3,0,1,0,0,0,76
"CD_I1007130","Shannon Campbell","BRL",30,67,1,9,2,"LIVE",0,1,4,3,1,2,0,1,0,0,0,67
"CD_I1009910","Courtney Hodder","BRL",56,95,0,9,1,"LAST",0,1,5,6,1,7,0,1,1,0,0,95
"CD_I1009910","Courtney Hodder","BRL",43,81,1,9,2,"LIVE",0,1,6,4,0,4,0,1,0,0,0,81
"CD_I1026111","Sophie Peters","BRL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1026111","Sophie Peters","BRL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1009827","Dee Heslop","BRL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1009827","Dee Heslop","BRL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1026937","Rania Crozier","BRL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1026937","Rania Crozier","BRL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019061","Jade Pregelj","BRL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019061","Jade Pregelj","BRL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019053","Cathy Svarc","BRL",65,69,0,9,1,"LAST",0,1,4,3,5,8,0,0,0,0,0,69
"CD_I1019053","Cathy Svarc","BRL",54,73,1,9,2,"LIVE",0,1,4,8,0,6,0,2,0,0,0,73
"CD_I1026113","Indiana Williams","BRL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1026113","Indiana Williams","BRL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1021441","Charlotte Mullins","BRL",40,68,0,9,1,"LAST",0,1,3,6,2,4,0,0,1,0,0,68
"CD_I1021441","Charlotte Mullins","BRL",31,56,1,9,2,"LIVE",0,1,4,7,1,1,0,1,1,0,0,56
"CD_I1016938","Ruby Svarc","BRL",25,66,0,9,1,"LAST",0,1,2,3,1,2,0,1,0,0,1,66
